isJunction,isValid,locationType,stopDesc,stopId,stopLat,stopLon,stopName
N,Y,STOP,,2831,22.939713,88.18428,MAHESHWARPUR
N,Y,STOP,,2832,22.960542,88.122127,CHARABAGAN BUS STAND
N,Y,STOP,,2833,22.964083,88.10974,BRAMBHAN PARA BUS STOP
N,Y,STOP,,2834,22.966579,88.097841,DHANIAKHALI BUS TERMINUS
N,Y,STOP,,2835,22.766898,88.159238,CHAKTAJPUR
N,Y,STOP,,2836,22.751959,88.143258,GOPALNAGAR RAKSHA KALI TEMPLE
N,Y,STOP,,2837,22.752716,88.132604,CHOTO MOSJID
N,Y,STOP,,2838,22.750055,88.105993,BASANTAPUR (FURFURA)
N,Y,STOP,,2839,22.750633,88.082258,RASPUR (FURFURA)
N,Y,STOP,,2840,22.749207,88.060706,JANGIPARA COLLEGE
N,Y,STOP,,2841,22.502204,88.318421,BEHALA (14) NO WBTC BUS STAND
N,Y,STOP,,2842,22.576483,88.479288,TATA MEDICAL CENTER
N,Y,STOP,,2843,22.481644,88.324613,EAST PARK PURBA BARISHA
N,Y,STOP,,2844,22.483069,88.327056,BATTALA KHUDIRAM
N,Y,STOP,,2845,22.311142,87.873395,RADHAMONI BUS STOP
N,Y,STOP,,2846,22.63541,88.478592,LOTUS HOSPITAL (RAJARHAT)
N,Y,STOP,,2849,22.606577,88.553982,GAZIPUR (RAJARHAT)
N,Y,STOP,,2850,22.946153,88.583955,FATEPUR (JAGULIA RD.)
N,Y,STOP,,2851,22.948652,88.598493,DATTA PARA
N,Y,STOP,,2852,22.856585,88.655703,BANBANIA CHOWMATHA
N,Y,STOP,,2853,22.847968,88.663013,JOYGACHHI MORE (HABRA)
N,Y,STOP,,2854,22.614815,88.681283,HAROA HOSPITAL
N,Y,STOP,,2855,22.653989,88.683804,HAMADAMA
N,Y,STOP,,2856,22.662655,88.684338,HAROA STATION RD
N,Y,STOP,,2857,22.673183,88.685317,HADIPUR
N,Y,STOP,,2858,22.704828,88.415408,MOHISPOTA MORE
N,Y,STOP,,2859,22.728842,88.402608,DOPERIA
N,Y,STOP,,2860,22.755019,88.389852,RUIA BUS STOP
N,Y,STOP,,2861,22.762642,88.386802,BARRACKPORE MATH PARA
N,Y,STOP,,2862,22.747961,88.394904,BAKULTALA (KALYANI EXPY)
N,Y,STOP,,2863,22.555975,88.50228,KULBERIA WBSEDCL
N,Y,STOP,,2942,22.561042,88.285991,B. GARDEN NEW GATE
N,Y,STOP,,2943,22.563027,88.296506,DANESH  SEIKH LANE
N,Y,STOP,,2944,22.561964,88.318364,D. B. COLLEGE 
N,Y,STOP,,2945,22.406768,88.280105,BHASA
N,Y,STOP,,2946,22.589605,88.336912,HOWRAH FIRE STATION
N,Y,STOP,,2947,22.587116,88.339428,GULMOHOR RAIL COLONY
N,Y,STOP,,2949,22.586255,88.343415,HOWRAH
N,Y,STOP,,2951,22.506821,88.255558,OLD  DAKGHAR (S.M.NAGAR)
N,Y,STOP,,2952,22.512823,88.268702,CHAKMIR
N,Y,STOP,,2954,22.514914,88.284857,MOLLAR GATE
N,Y,STOP,,2955,22.485519,88.366926,REGENT ESTATE / LAYALKA
N,Y,STOP,,2956,22.342588,88.456233,PHOOLTALA (BARUIPUR)
N,Y,STOP,,2957,22.336567,88.477173,RAMNAGAR SCHOOL (BARUIPUR)
N,Y,STOP,,2958,22.339994,88.518466,UTTARBHAG
N,Y,STOP,,2959,22.591442,88.359884,RABINDRA SARANI / NIMTALA STREET
N,Y,STOP,,2960,22.586393,88.358237,GANESH  TALKIES
N,Y,STOP,,2961,22.364989,88.429614,BARUIPUR RAIL STATION.
N,Y,STOP,,2962,22.598558,88.374504,FARIAPUKUR
N,Y,STOP,,2964,22.654875,88.325501,SAHEB BAGAN
N,Y,STOP,,2966,22.575206,88.378757,NARKELDANGA  PO
N,Y,STOP,,2967,22.575626,88.377278,NARKELDANGA  PS
N,Y,STOP,,2968,22.589719,88.419239,MAYUKH BHAVAN
N,Y,STOP,,2969,22.423013,88.394019,SHYAMKHOLA  MORE
N,Y,STOP,,2970,22.581612,88.332612,BANGABASI (HOWRAH)
N,Y,STOP,,2971,22.514378,88.392749,RAJDANGA
N,Y,STOP,,2972,22.510792,88.381875,HALTU  BAZAR
N,Y,STOP,,2973,22.510107,88.382922,HALTU  MORE
N,Y,STOP,,2974,22.532947,88.345988,NETAJI BHAWAN (JADU BABUR BAZAR)
N,Y,STOP,,2975,22.526605,88.346161,BHAWANIPUR THANA
N,Y,STOP,,2976,22.514917,88.345813,TOLLYGUNGE THANA
N,Y,STOP,,2977,22.480667,88.357606,NETAJI NAGAR COLLEGE MORE
N,Y,STOP,,2978,22.511341,88.345858, PSC OFFICE 
N,Y,STOP,,2979,22.522299,88.392982,NASKAR HAT
N,Y,STOP,,2980,22.574596,88.409179,PURBACHAL / TANK NO. 13
N,Y,STOP,,2981,22.549534,88.282612,METIABRUZ  PS
N,Y,STOP,,2982,22.503258,88.241748,USHA  FACTORY
N,Y,STOP,,2983,22.499376,88.231498,BATA MORE
N,Y,STOP,,2984,22.497056,88.225342,NUNGI MORE
N,Y,STOP,,2985,22.512871,88.211478,BATANAGAR BUS STAND
N,Y,STOP,,2986,22.488585,88.362385,BIJOYGARH  COLLEGE
N,Y,STOP,,2987,22.528924,88.386523,EASTERN PARK
N,Y,STOP,,2988,22.609668,88.447264,HATIARA  BUS STAND
N,Y,STOP,,2989,22.573583,88.372587,TAKI SCHOOL
N,Y,STOP,,2990,22.535205,88.254865,AKRA  FATAK BUS TERMINUS
N,Y,STOP,,2991,22.487409,88.277347,SHIBARAMPUR 
